PING 137.184.170.122 (137.184.170.122) 56(84) bytes of data.
64 bytes from 137.184.170.122: icmp_seq=1 ttl=64 time=0.030 ms
64 bytes from 137.184.170.122: icmp_seq=2 ttl=64 time=0.061 ms
64 bytes from 137.184.170.122: icmp_seq=3 ttl=64 time=0.063 ms
64 bytes from 137.184.170.122: icmp_seq=4 ttl=64 time=0.060 ms
64 bytes from 137.184.170.122: icmp_seq=5 ttl=64 time=0.053 ms
64 bytes from 137.184.170.122: icmp_seq=6 ttl=64 time=0.069 ms
64 bytes from 137.184.170.122: icmp_seq=7 ttl=64 time=0.054 ms
64 bytes from 137.184.170.122: icmp_seq=8 ttl=64 time=0.056 ms
64 bytes from 137.184.170.122: icmp_seq=9 ttl=64 time=0.052 ms
64 bytes from 137.184.170.122: icmp_seq=10 ttl=64 time=0.060 ms
64 bytes from 137.184.170.122: icmp_seq=11 ttl=64 time=0.063 ms
64 bytes from 137.184.170.122: icmp_seq=12 ttl=64 time=0.053 ms
64 bytes from 137.184.170.122: icmp_seq=13 ttl=64 time=0.053 ms
64 bytes from 137.184.170.122: icmp_seq=14 ttl=64 time=0.060 ms
64 bytes from 137.184.170.122: icmp_seq=15 ttl=64 time=0.053 ms
